도로명주소,지번주소,위도,경도,상태
서울특별시 성북구 성북로 94,서울특별시 성북구 성북동 66-1,37.5932727259,126.9984719528,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울시 동대문구 사가정로 2길 9,,,,변환실패(주소미존재)
서울특별시 동대문구 청계천로 549,서울특별시 동대문구 용두동 696-10,37.5728434233,127.0372089599,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 약령시로21길 15,서울특별시 동대문구 청량리동 232-2,37.5841067261,127.0452724259,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 약령시로17길 59-11,서울특별시 동대문구 제기동 287-33,37.5855626699,127.0420264152,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 서울시립대로 56,서울특별시 동대문구 전농동 650-1,37.5761294460,127.0479380934,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 전농로38다길 21,서울특별시 동대문구 전농동 103-570,37.5863730931,127.0542291729,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 한천로20길 7,,,,변환실패(주소미존재)
서울특별시 동대문구 답십리로69길 100,서울특별시 동대문구 장안동 329-5,37.5767936401,127.0744038472,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 한천로 402,서울특별시 동대문구 이문동 92-1,37.5964838564,127.0681153276,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 한천로 266,서울특별시 동대문구 휘경동 43-267,37.5846745156,127.0680238418,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동대문구 회기로18길 2,서울특별시 동대문구 회기동 103-46,37.5910847312,127.0518492702,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 독막로22길 8,서울특별시 마포구 창전동 402-59,37.5473472146,126.9293114267,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 마포대로 195-1,서울특별시 마포구 아현동 785,37.5518094602,126.9540398181,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 월드컵북로30길 24,서울특별시 마포구 성산동 602,37.5687316891,126.9090823473,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 양화로11길 63,서울특별시 마포구 서교동 491,37.5518763429,126.9134625073,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 토정로31길 35,서울특별시 마포구 용강동 503,37.5425613405,126.9430833756,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 매봉산로 76,서울특별시 마포구 상암동 1614,37.5782806848,126.8938446196,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 망원로2길 63,서울특별시 마포구 망원동 398-1,37.5543394288,126.9027334770,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 마포구 연남로 4,서울특별시 마포구 연남동 373-20,37.5603356081,126.9237621301,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 영등포로46길 14,서울특별시 영등포구 영등포동3가 18-1,37.5180106135,126.9075137950,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 여의공원로 120,서울특별시 영등포구 여의도동 2,37.5296207835,126.9266911111,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 경인로 759,서울특별시 영등포구 문래동3가 54-2,37.5135821557,126.8976500670,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 신길동 4533-16,,,,변환실패(주소미존재)
서울특별시 영등포구 신길로60다길 16,서울특별시 영등포구 신길동 186-280,37.5135076032,126.9141091384,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 선유로 95,서울특별시 영등포구 양평동1가 164-22,37.5227230477,126.8896845216,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 당산로 221,서울특별시 영등포구 당산동5가 15,37.5336156813,126.9012638905,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 대림로23길 16-1,서울특별시 영등포구 대림동 706-8,37.4934305498,126.8987028655,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 대림로 197,서울특별시 영등포구 대림동 740-4,37.4983135194,126.8980343716,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 영등포구 경인로102길 13,서울특별시 영등포구 영등포동 618-609,37.5153534031,126.9057262732,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 사근동길 5,서울특별시 성동구 행당동 11-7,37.5603019185,127.0417943498,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 광나루로2길 35,서울특별시 성동구 성수동2가 299-240,37.5482232014,127.0552455594,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 성덕정길 77-2,서울특별시 성동구 성수동2가 344-7,37.5380574969,127.0522732663,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 마장로 205,서울특별시 성동구 홍익동 102-1,37.5666688968,127.0326583538,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 행당로 89,서울특별시 성동구 행당동 317-1994,37.5574289059,127.0288558960,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 독서당로 211,서울특별시 성동구 옥수동 561,37.5438389184,127.0143489485,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 금호로11길 2-1,서울특별시 성동구 금호동2가 224,37.5547388017,127.0196183027,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 독서당로 373,서울특별시 성동구 응봉동 275-8,37.5497977040,127.0300203620,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 성동구 용답중앙길 49,서울특별시 성동구 용답동 83-5,37.5647821400,127.0517587082,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동작구 동작대로9길 35,서울특별시 동작구 사당동 1028-1,37.4805392243,126.9795314528,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동작구 등용로12나길 2,서울특별시 동작구 대방동 68-55,37.5111477441,126.9332977440,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동작구 등용로 24,서울특별시 동작구 상도동 363-189,37.5059329821,126.9362024570,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동작구 사당로17나길 4,서울특별시 동작구 사당동 257-25,37.4841180387,126.9732554446,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동작구 노량진로 248,서울특별시 동작구 본동 150-1,37.5124023060,126.9536371224,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동작구 신대방1다길 24,서울특별시 동작구 신대방동 719-2,37.4866458271,126.9059471148,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 동작구 여의대방로 130,서울특별시 동작구 대방동 417-4,37.4985652656,126.9205740485,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 아차산로 567,서울특별시 광진구 광장동 231-1,37.5444546646,127.1033165015,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 능동로17길 39,서울특별시 광진구 화양동 122,37.5465371086,127.0713178824,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 능동로 385,서울특별시 광진구 중곡동 165-6,37.5637201146,127.0827881010,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 능동로 346,서울특별시 광진구 중곡동 47-33,37.5601504693,127.0814751062,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 동일로76가길 28,서울특별시 광진구 중곡동 684,37.5688068928,127.0801380971,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 용마산로24길 7,서울특별시 광진구 중곡동 18-144,37.5653510301,127.0872605045,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 뚝섬로36길 9,서울특별시 광진구 자양동 553-632,37.5338581490,127.0716161520,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구 자양번영로 80,서울특별시 광진구 자양동 799-2,37.5366207935,127.0769223468,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 광진구  뚝섬로22가길 43번지,,,,변환실패(주소미존재)
서울특별시 광진구 광나루로43길 26,서울특별시 광진구 구의동 126-7,37.5458954287,127.0916676521,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 은평구 은평로 171,서울특별시 은평구 응암동 84-8,37.6016345299,126.9264458852,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 은평구  은평터널로5길 6호,,,,변환실패(주소미존재)
서울특별시 은평구  진흥로 진흥로200,,,,변환실패(주소미존재)
서울특별시 은평구 응암로 208,서울특별시 은평구 응암동 576-43,37.5905275289,126.9175368392,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 은평구 연서로 61,서울특별시 은평구 역촌동 62-26,37.6045881730,126.9150656565,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 도봉로 127,서울특별시 강북구 미아동 327-1,37.6201553368,127.0282649453,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 오현로 4,서울특별시 강북구 미아동 860-146,37.6163094791,127.0304008102,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 삼양로 305,서울특별시 강북구 수유동 605-409,37.6306754435,127.0175812885,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 삼각산로 115,서울특별시 강북구 수유동 605-512,37.6409214297,127.0170978600,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 한천로150길 76,서울특별시 강북구 수유동 166-75,37.6443352147,127.0265846814,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 인수봉로 227,서울특별시 강북구 수유동 410-342,37.6394398066,127.0124040413,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 한천로 969,서울특별시 강북구 번동 410-23,37.6359777996,127.0325802410,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 월계로 227,서울특별시 강북구 번동 242-6,37.6236254564,127.0481299963,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강북구 삼양로 239-1,서울특별시 강북구 미아동 867-128,37.6248320047,127.0181775694,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 금천구 시흥대로57길 45,서울특별시 금천구 시흥동 995-67,37.4542211790,126.8998198577,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 금천구 독산로76길 20,서울특별시 금천구 독산동 191-2,37.4695360013,126.9034615862,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 금천구 탑골로2길 37,서울특별시 금천구 시흥동 244-38,37.4510427230,126.9125956774,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 금천구 벚꽃로56길 174,서울특별시 금천구 가산동 139-2,37.4799367297,126.8880557451,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 금천구 벚꽃로10길 89,서울특별시 금천구 독산동 1006-96,37.4646448212,126.8947575242,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 망우로 391,서울특별시 중랑구 망우동 489-7,37.5990315026,127.0955316419,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 중랑천로 146,서울특별시 중랑구 중화동 326-114,37.5979867086,127.0722092226,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 동일로 566,서울특별시 중랑구 면목동 168-2,37.5809441456,127.0799363416,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 신내로 177,서울특별시 중랑구 신내동 644-3,37.6147837734,127.0955292509,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 상봉로 27,서울특별시 중랑구 면목동 71-24,37.5882025518,127.0938774267,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 사가정로41길 45,서울특별시 중랑구 면목동 1508-3,37.5832071216,127.0841549004,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 중랑천로 69,서울특별시 중랑구 면목동 198-1,37.5913260054,127.0728505622,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 중랑구 숙선옹주로7길 1,서울특별시 중랑구 묵동 120,37.6146120014,127.0815360757,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 영동대로112길 4,서울특별시 강남구 삼성동 107-3,37.5149074360,127.0605458567,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 선릉로 626,서울특별시 강남구 삼성동 35,37.5124098757,127.0435178683,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 학동로95길 19,서울특별시 강남구 청담동 66-3,37.5207979095,127.0542755686,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 도산대로 143,서울특별시 강남구 신사동 539-13,37.5183707913,127.0241333580,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 학동로 169,서울특별시 강남구 논현동 58-13,37.5138651397,127.0293217578,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 학동로 227,서울특별시 강남구 논현동 89-13,37.5152038126,127.0338464444,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 압구정로 311,서울특별시 강남구 압구정동 483,37.5293473229,127.0356144422,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강남구 테헤란로114길 11,서울특별시 강남구 대치동 998-2,37.5093666837,127.0670999272,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 남부순환로191길 12,서울특별시 관악구 봉천동 961-16,37.4860068452,126.9343644033,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 봉천로 540,서울특별시 관악구 봉천동 1620-9,37.4783269065,126.9575957297,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 남부순환로188길 12,서울특별시 관악구 신림동 10-484,37.4840164722,126.9333173489,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 신림로 178,서울특별시 관악구 신림동 808-402,37.4738593965,126.9352631499,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 은천로 93,서울특별시 관악구 봉천동 1718,37.4872808290,126.9452473351,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 남현1가길 29,서울특별시 관악구 남현동 1086-1,37.4746878600,126.9778752620,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 난곡로 64,서울특별시 관악구 신림동 1735-6,37.4611182549,126.9192499547,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 난곡로64가길 31,서울특별시 관악구 신림동 1566-34,37.4799242134,126.9156104671,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 관악구 신사로 106,서울특별시 관악구 신림동 517-5,37.4872769534,126.9141941310,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 화곡로 310,서울특별시 강서구 화곡동 980-15,37.5517015270,126.8499473768,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 방화동로 5,서울특별시 강서구 방화동 620-111,37.5623696520,126.8082784570,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 강서로7길 39,서울특별시 강서구 화곡동 901-14,37.5293516336,126.8455601425,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 화곡로65길 63,서울특별시 강서구 등촌동 706-1,37.5592491298,126.8501226093,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 곰달래로59길 12,서울특별시 강서구 화곡동 776-4,37.5329111812,126.8631379157,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 금낭화로26길 16,서울특별시 강서구 방화동 822,37.5798053719,126.8146820894,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 공항대로59다길 80,서울특별시 강서구 염창동 272-1,37.5518937887,126.8674025734,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 등촌로 167,서울특별시 강서구 등촌동 513-6,37.5448086639,126.8618691762,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 수명로2길 46,서울특별시 강서구 내발산동 748-5,37.5494063246,126.8260426655,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강서구 강서로45다길 71,서울특별시 강서구 화곡동 1019,37.5446697303,126.8351791001,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구 구천면로 141,서울특별시 강동구 천호동 337-121,37.5425732089,127.1207772766,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구 양재대로96길 35,서울특별시 강동구 둔촌동 495,37.5294507820,127.1391885841,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구  성내로 57 성내지구대 ,,,,변환실패(주소미존재)
서울특별시 강동구 고덕로 137,서울특별시 강동구 암사동 414-19,37.5549963560,127.1407840571,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구 진황도로 239,서울특별시 강동구 둔촌동 115,37.5253343295,127.1456541063,변환완료(도로명주소업데이트;지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구 동남로 895,서울특별시 강동구 명일동 47-30,37.5536441814,127.1560881676,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구 아리수로91길 20,서울특별시 강동구 강일동 678-3,37.5648665308,127.1732147747,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구 고덕로61길 61,서울특별시 강동구 고덕동 691-9,37.5573170397,127.1517064074,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
서울특별시 강동구 고덕로80길 7,서울특별시 강동구 상일동 121,37.5562147602,127.1658439568,변환완료(지번주소업데이트;위도업데이트;경도업데이트;)
